,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,ZIP_CODES,LOG_PRICE,LOG_SQFT,PRICE_CAT,GEO_POINTS,BOROUGH,COMMUNITY_DISTRICT,NEIGHBORHOOD
2127,Brokered by Brown Harris Stevens,Co-op,1200000,2,2.0,1100.0,185 Prospect Park SW Apt 304,"Brooklyn, NY 11218","185 Prospect Park SW Apt 304Brooklyn, NY 11218",New York,Kings County,Brooklyn,Windsor Terrace,185,"185 Prospect Park Southwest Apt 304, Brooklyn, NY 11218, USA",40.6533033,-73.9730719,11218,6.079181246047625,3.041392685158225,4,POINT (-73.97307189999999 40.6533033),Brooklyn,307,Borough Park
2128,Brokered by Douglas Elliman - 575 Madison Ave,Multi-family home,3975000,4,4.0,3181.0,146 Newel St,"Brooklyn, NY 11222","146 Newel StBrooklyn, NY 11222",United States,New York,Kings County,Brooklyn,Newel Street,"146 Newel St, Brooklyn, NY 11222, USA",40.7273631,-73.948662,11222,6.599337132992489,3.502563669107363,4,POINT (-73.948662 40.7273631),Brooklyn,301,Greenpoint
2130,"Brokered by Homes R Us Realty of NY, Inc.",House,949900,4,2.0,1680.0,489 Maine Ave,"Staten Island, NY 10314","489 Maine AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Maine Avenue,"489 Maine Ave, Staten Island, NY 10314, USA",40.6217558,-74.1413145,10314,5.977677887673994,3.225309281725863,3,POINT (-74.14131449999999 40.6217558),Staten Island,501,Mid-Island
2134,"Brokered by Homes R Us Realty of NY, Inc.",House,949900,4,2.0,1680.0,489 Maine Ave,"Staten Island, NY 10314","489 Maine AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Maine Avenue,"489 Maine Ave, Staten Island, NY 10314, USA",40.6217558,-74.1413145,10314,5.977677887673994,3.225309281725863,3,POINT (-74.14131449999999 40.6217558),Staten Island,501,Mid-Island
2136,Brokered by Macaluso Realty,Townhouse,849000,3,2.0,1296.0,66-27 Gray St,"Middle Village, NY 11379","66-27 Gray StMiddle Village, NY 11379",United States,New York,Queens County,Queens,Gray Street,"66-27 Gray St, Flushing, NY 11379, USA",40.7149915,-73.8775275,11379,5.928907690243952,3.1126050015345745,3,POINT (-73.8775275 40.7149915),Queens,405,West Central Queens
2139,Brokered by Douglas Elliman - 575 Madison Ave,Others,1999000,3,4.0,2840.0,158 Jaffrey St,"Brooklyn, NY 11235","158 Jaffrey StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Jaffray Street,"158 Jaffray St, Brooklyn, NY 11235, USA",40.5789619,-73.9430773,11235,6.300812794118117,3.4533183400470375,4,POINT (-73.9430773 40.5789619),Brooklyn,315,Southern Brooklyn
2140,Brokered by Keller Williams NYC - New York Living Solutions,Co-op,560000,1,1.0,700.0,200 E 36th St Apt 17G,"New York, NY 10016","200 E 36th St Apt 17GNew York, NY 10016",New York,New York County,New York,Manhattan,200,"200 E 36th St #17g, New York, NY 10016, USA",40.7467649,-73.976998,10016,5.748188027006201,2.845098040014257,3,POINT (-73.97699799999999 40.7467649),Manhattan,106,Gramercy Park and Murray Hill
2141,Brokered by Douglas Elliman - 575 Madison Ave,House,26995000,8,10.0,8360.0,995 Fifth Ave Unit 16,"New York, NY 10028","995 Fifth Ave Unit 16New York, NY 10028",New York,New York County,New York,Manhattan,995,"995 5th Ave Fl 16, New York, NY 10028, USA",40.7780041,-73.9625466,10028,7.431283331807261,3.9222062774390163,5,POINT (-73.9625466 40.7780041),Manhattan,108,Upper East Side
2142,Brokered by DiTommaso Real Estate,Multi-family home,1450000,5,4.0,3252.0,169 Crown Ave,"Staten Island, NY 10312","169 Crown AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Crown Avenue,"169 Crown Ave, Staten Island, NY 10312, USA",40.5504262,-74.186404,10312,6.161368002234975,3.5121505369220305,4,POINT (-74.186404 40.5504262),Staten Island,503,South Shore
2143,Brokered by BROOKLYN`S 4 U REALTY,Multi-family home,1599000,5,3.0,2424.0,2230 National Dr,"Brooklyn, NY 11234","2230 National DrBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,National Drive,"2230 National Dr, Brooklyn, NY 11234, USA",40.6062747,-73.9157858,11234,6.203848463746235,3.3845326154942486,4,POINT (-73.91578579999999 40.6062747),Brooklyn,318,Canarsie and Flatlands
2144,Brokered by Realty Executives Metro Garden,Co-op,255000,1,1.0,650.0,66-36 Yellowstone Blvd Unit 26C,"Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 26CForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 26b, Forest Hills, NY 11375, USA",40.7291499,-73.84944,11375,5.4065401804339555,2.8129133566428557,3,POINT (-73.84944 40.7291499),Queens,406,West Central Queens
2146,Brokered by Myc & Associates Inc,Multi-family home,5827000,3,2.0,55300.0,9944 62nd Ave,"Queens, NY 11374","9944 62nd AveQueens, NY 11374",United States,New York,Queens County,Queens,62nd Avenue,"99-44 62nd Ave, Flushing, NY 11374, USA",40.7352736,-73.8566546,11374,6.76544501809015,4.742725131304698,4,POINT (-73.8566546 40.7352736),Queens,406,West Central Queens
2148,Brokered by Myc & Associates Inc,Multi-family home,5827000,3,2.0,55300.0,9944 62nd Ave,"Queens, NY 11374","9944 62nd AveQueens, NY 11374",United States,New York,Queens County,Queens,62nd Avenue,"99-44 62nd Ave, Flushing, NY 11374, USA",40.7352736,-73.8566546,11374,6.76544501809015,4.742725131304698,4,POINT (-73.8566546 40.7352736),Queens,406,West Central Queens
2152,Brokered by Brownstone Real Estate LLC - Carroll Gardens,Townhouse,3200000,4,4.0,3200.0,556 Henry St,"Brooklyn, NY 11231","556 Henry StBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,Henry Street,"556 Henry St, Brooklyn, NY 11231, USA",40.6820276,-74.000601,11231,6.505149978319906,3.505149978319906,4,POINT (-74.000601 40.6820276),Brooklyn,306,Northwest Brooklyn
2153,Brokered by NEUHAUS REALTY INC.,House,799999,3,4.0,2337.0,619 Johnston Ter,"Staten Island, NY 10309","619 Johnston TerStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,Johnston Terrace,"619 Johnston Terrace, Staten Island, NY 10309, USA",40.513375,-74.202668,10309,5.903089444123502,3.368658712392227,3,POINT (-74.202668 40.513375),Staten Island,503,South Shore
2156,Brokered by Connie Profaci Realty,Condo,198000,1,1.0,1000.0,1100 Clove Rd Apt Gl,"Staten Island, NY 10301","1100 Clove Rd Apt GlStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Road,"1100 Clove Rd, Staten Island, NY 10301, USA",40.6189484,-74.1071576,10301,5.296665190261531,3.0,3,POINT (-74.10715759999999 40.6189484),Staten Island,501,Stapleton and St. George
2157,Brokered by eXp Realty BKNY,House,485000,2,1.0,560.0,2800 Brown St,"Brooklyn, NY 11235","2800 Brown StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Brown Street,"2800 Brown St, Brooklyn, NY 11235, USA",40.585215,-73.937245,11235,5.685741738602264,2.7481880270062002,3,POINT (-73.937245 40.585215),Brooklyn,315,Southern Brooklyn
2162,Brokered by RE/MAX Team,Multi-family home,1288000,5,5.0,2500.0,48-36 65th Pl,"Woodside, NY 11377","48-36 65th PlWoodside, NY 11377",United States,New York,Queens County,Queens,65th Place,"48-36 65th Pl, Flushing, NY 11377, USA",40.7374104,-73.9002424,11377,6.109915863023793,3.3979400086720375,4,POINT (-73.9002424 40.7374104),Queens,402,West Queens
2163,Brokered by DiTommaso Real Estate,House,589000,2,2.0,1808.0,18 Harbour Ct,"Staten Island, NY 10308","18 Harbour CtStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Harbour Court,"18 Harbour Ct, Staten Island, NY 10308, USA",40.5383835,-74.1433088,10308,5.770115294787102,3.2571984261393445,3,POINT (-74.1433088 40.5383835),Staten Island,503,South Shore
2165,Brokered by COMPASS,Townhouse,2050000,7,4.0,5200.0,213 E 120th St,"Manhattan, NY 10035","213 E 120th StManhattan, NY 10035",United States,New York,New York County,New York,East 120th Street,"213 E 120th St, New York, NY 10035, USA",40.8003622,-73.9373581,10035,6.311753861055754,3.716003343634799,4,POINT (-73.9373581 40.8003622),Manhattan,111,East Harlem
2166,Brokered by Steven Corcoran Real Estate LLC - Steven Corcoran Real Estate TudorCity.com,Co-op,259000,3,1.0,250.0,321 E 43rd St Apt 211,"New York, NY 10017","321 E 43rd St Apt 211New York, NY 10017",New York,New York County,New York,Manhattan,321,"321 E 43rd St Apt 211, New York, NY 10017, USA",40.750236,-73.9707571,10017,5.413299764081252,2.3979400086720375,3,POINT (-73.9707571 40.750236),Manhattan,106,Gramercy Park and Murray Hill
2168,Brokered by RE MAX Edge,Co-op,219000,3,1.0,550.0,1119 Ocean Pkwy Unit 1O,"Brooklyn, NY 11230","1119 Ocean Pkwy Unit 1OBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1119,"1119 Ocean Pkwy #1b, Brooklyn, NY 11230, USA",40.621071,-73.969227,11230,5.3404441148401185,2.7403626894942437,3,POINT (-73.969227 40.621071),Brooklyn,312,Borough Park
2169,Brokered by Corcoran West Side,Condo,1795000,3,2.0,1773.0,380 Lenox Ave Apt 2D,"New York, NY 10027","380 Lenox Ave Apt 2DNew York, NY 10027",New York,New York County,New York,Manhattan,380,"380 Lenox Ave #2d, New York, NY 10037, USA",40.810446,-73.943187,10027,6.254064452914338,3.2487087356009177,4,POINT (-73.94318699999999 40.810446),Manhattan,110,Central Harlem
2171,Brokered by COMPASS,Townhouse,10850000,4,2.0,13000.0,591 Park Ave,"Manhattan, NY 10065","591 Park AveManhattan, NY 10065",United States,New York,New York County,New York,Park Avenue,"591 Park Ave, New York, NY 10065, USA",40.765596,-73.967349,10065,7.035429738184549,4.113943352306837,5,POINT (-73.967349 40.765596),Manhattan,108,Upper East Side
2172,Brokered by COMPASS,Condo,699000,2,2.0,1519.0,2322 Adam Clayton Powell Jr Blvd Apt 1C,"Manhattan, NY 10030","2322 Adam Clayton Powell Jr Blvd Apt 1CManhattan, NY 10030",New York,New York County,New York,Manhattan,2322,"2322 Adam Clayton Powell Jr Blvd #1c, New York, NY 10030, USA",40.8163359,-73.9434447,10030,5.8444771757456815,3.1815577738627865,3,POINT (-73.9434447 40.8163359),Manhattan,110,Central Harlem
2176,Brokered by Nexthome All Island,Co-op,425000,3,2.0,1300.0,61-20 Grand Central Pkwy Unit C505,"Forest Hills, NY 11375","61-20 Grand Central Pkwy Unit C505Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,61-20,"61-20 Grand Central Pkwy #505, Forest Hills, NY 11375, USA",40.7379227,-73.8470718,11375,5.628388930050312,3.113943352306837,3,POINT (-73.84707179999999 40.7379227),Queens,406,West Central Queens
2177,Brokered by Living NY - Main Office,Condo,2750000,3,3.0,2782.0,160 Imlay St Unit 6D2,"Brooklyn, NY 11231","160 Imlay St Unit 6D2Brooklyn, NY 11231",United States,New York,Kings County,Brooklyn,Imlay Street,"160 Imlay St, Brooklyn, NY 11231, USA",40.6811053,-74.0098135,11231,6.439332693830263,3.4443571256560275,4,POINT (-74.00981350000001 40.6811053),Brooklyn,306,Northwest Brooklyn
2178,Brokered by Coldwell Banker Reliable,Co-op,279999,1,1.0,790.0,3235 Emmons Ave Apt 412,"Brooklyn, NY 11235","3235 Emmons Ave Apt 412Brooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,3235,"3235 Emmons Ave Apt 412, Brooklyn, NY 11235, USA",40.5844399,-73.9316116,11235,5.447156480287728,2.8976270912904414,3,POINT (-73.9316116 40.5844399),Brooklyn,315,Southern Brooklyn
2180,Brokered by Ilite Realty Inc,Condo,980000,3,3.0,1574.0,1740 W 4th St Apt 4C,"Brooklyn, NY 11223","1740 W 4th St Apt 4CBrooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,1740,"1740 W 4th St #4c, Brooklyn, NY 11223, USA",40.6050673,-73.9776246,11223,5.991226075692495,3.1970047280230456,3,POINT (-73.9776246 40.6050673),Brooklyn,311,Southern Brooklyn
2182,Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op,1600000,4,2.0,2350.0,26 Beaver St Apt 4,"New York, NY 10004","26 Beaver St Apt 4New York, NY 10004",New York,New York County,New York,Manhattan,26,"26 Beaver St Apt 4, New York, NY 10004, USA",40.7048255,-74.0118183,10004,6.204119982655925,3.3710678622717363,4,POINT (-74.0118183 40.7048255),Manhattan,101,Lower Manhattan
2185,Brokered by Douglas Elliman - 3544 Johnson Ave,Co-op,250000,1,2.0,740.0,6300 Riverdale Ave Apt 5K,"Bronx, NY 10471","6300 Riverdale Ave Apt 5KBronx, NY 10471",10471,United States,New York,The Bronx,6300,"6300 Riverdale Ave #5k, Bronx, NY 10471, USA",40.9127295,-73.9022248,10471,5.3979400086720375,2.8692317197309762,3,POINT (-73.9022248 40.9127295),Bronx,208,Kingsbridge and Riverdale
2187,Brokered by Keller Williams Rlty Landmark,Multi-family home,1350000,7,4.0,2800.0,94-35 Corona Ave,"Elmhurst, NY 11373","94-35 Corona AveElmhurst, NY 11373",United States,New York,Queens County,Queens,Corona Avenue,"94-35 Corona Ave., Elmhurst, NY 11373, USA",40.7424208,-73.8687143,11373,6.1303337684950066,3.4471580313422194,4,POINT (-73.86871429999999 40.7424208),Queens,404,West Queens
2188,Brokered by Four Seasons Realty Co.,Others,725000,3,2.0,1498.0,32 Poi Ct,"Staten Island, NY 10314","32 Poi CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Poi Court,"32 Poi Ct, Staten Island, NY 10314, USA",40.5887531,-74.1613951,10314,5.860338006570994,3.1755118133634475,3,POINT (-74.16139509999999 40.5887531),Staten Island,502,Mid-Island
2189,Brokered by Julia Shildkret Real Estate,Co-op,309000,1,1.0,850.0,66-36 Yellowstone Blvd Unit 14A,"Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 14AForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 14e, Forest Hills, NY 11375, USA",40.7291499,-73.84944,11375,5.489958479424835,2.929418925714293,3,POINT (-73.84944 40.7291499),Queens,406,West Central Queens
2192,Brokered by RE MAX Real Estate Professionals,House,1750000,4,3.0,3225.0,7316 Ridge Blvd,"Brooklyn, NY 11209","7316 Ridge BlvdBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Ridge Boulevard,"7316 Ridge Blvd, Brooklyn, NY 11209, USA",40.633166,-74.0303565,11209,6.243038048686294,3.5085297189712867,4,POINT (-74.0303565 40.633166),Brooklyn,310,Southwest Brooklyn
2193,Brokered by Ilite Realty Inc,Condo,950000,3,2.0,1401.0,1740 W 4th St Apt 5F,"Brooklyn, NY 11223","1740 W 4th St Apt 5FBrooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,1740,"1740 W 4th St #5f, Brooklyn, NY 11223, USA",40.6050673,-73.9776246,11223,5.977723605288848,3.1464381352857744,3,POINT (-73.9776246 40.6050673),Brooklyn,311,Southern Brooklyn
2195,Brokered by Sotheby's International Realty - Downtown Manhattan,Condo,5000000,2,2.0,2522.0,139 Spring St Apt 3B,"New York, NY 10012","139 Spring St Apt 3BNew York, NY 10012",New York,New York County,New York,Manhattan,139,"139 Spring St #3b, New York, NY 10012, USA",40.7242452,-74.0008671,10012,6.698970004336019,3.401745082237063,4,POINT (-74.00086709999999 40.7242452),Manhattan,102,Greenwich Village and Soho
2196,Brokered by Today Realty Corp.,House,1050000,3,2.0,1870.0,835 Dean Ave,"Bronx, NY 10465","835 Dean AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Dean Avenue,"835 Dean Ave, Bronx, NY 10465, USA",40.8325495,-73.8167031,10465,6.021189299069938,3.271841606536499,4,POINT (-73.8167031 40.8325495),Bronx,210,Southeast Bronx
2197,Brokered by eXp Realty BKNY,Condo,1390000,4,3.0,1950.0,1840 52nd St Apt 7,"Brooklyn, NY 11204","1840 52nd St Apt 7Brooklyn, NY 11204",New York,Kings County,Brooklyn,Mapleton,1840,"1840 52nd St APT 7, Brooklyn, NY 11204, USA",40.6259793,-73.9821859,11204,6.143014800254095,3.290034611362518,4,POINT (-73.9821859 40.6259793),Brooklyn,312,Borough Park
2200,Brokered by Brown Harris Stevens,Condo,9995000,3,4.0,2926.0,368 Third Ave Ph B,"Manhattan, NY 10016","368 Third Ave Ph BManhattan, NY 10016",New York,New York County,New York,Manhattan,368,"368 3rd Ave Ph B, New York, NY 10016, USA",40.7412931,-73.981837,10016,6.999782798454135,3.466274321789292,4,POINT (-73.981837 40.7412931),Manhattan,106,Gramercy Park and Murray Hill
2201,Brokered by Keller Williams Valley Realty,Co-op,529000,2,2.0,1200.0,4150 78th St Apt 222,"Elmhurst, NY 11373","4150 78th St Apt 222Elmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,41-50,"41-50 78th St #222, Elmhurst, NY 11373, USA",40.7438826,-73.8873872,11373,5.723455672035186,3.0791812460476247,3,POINT (-73.88738720000001 40.7438826),Queens,404,West Queens
2202,Brokered by Ben Bay Realty Company of Staten Island LLC,House,1328888,3,2.0,1440.0,1534 W 9th St,"Brooklyn, NY 11204","1534 W 9th StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,West 9th Street,"1534 W 9th St, Brooklyn, NY 11204, USA",40.6094603,-73.9831636,11204,6.123488379714988,3.1583624920952498,4,POINT (-73.9831636 40.6094603),Brooklyn,311,Borough Park
2203,Brokered by Red Door Realty Group,Townhouse,478888,2,2.0,1159.0,119 Richmond Hill Rd,"Staten Island, NY 10314","119 Richmond Hill RdStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Richmond Hill Road,"119 Richmond Hill Rd, Staten Island, NY 10314, USA",40.5872305,-74.1641299,10314,5.680233954605611,3.064083435963596,3,POINT (-74.16412990000001 40.5872305),Staten Island,502,Mid-Island
2204,Brokered by Modlin Group LLC,Condo,1350000,1,1.0,850.0,50 E 72nd St Unit 3D,"New York, NY 10021","50 E 72nd St Unit 3DNew York, NY 10021",New York,New York County,New York,Manhattan,50,"50 E 72nd St #3d, New York, NY 10021, USA",40.7711516,-73.9646688,10021,6.1303337684950066,2.929418925714293,4,POINT (-73.9646688 40.7711516),Manhattan,108,Upper East Side
2206,Brokered by Jamie & Connie Real Estate Grp,House,728000,2,1.0,1440.0,160-44 26th Ave,"Flushing, NY 11358","160-44 26th AveFlushing, NY 11358",United States,New York,Queens County,Queens,26th Avenue,"160-44 26th Ave, Flushing, NY 11358, USA",40.7731565,-73.8027586,11358,5.862131379313038,3.1583624920952498,3,POINT (-73.8027586 40.7731565),Queens,407,North Queens
2208,Brokered by COMPASS,Others,3399000,6,4.0,5000.0,168 Lefferts Pl,"Brooklyn, NY 11238","168 Lefferts PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,Lefferts Place,"168 Lefferts Pl, Brooklyn, NY 11238, USA",40.6804045,-73.9573819,11238,6.53135116458306,3.6989700043360187,4,POINT (-73.9573819 40.6804045),Brooklyn,303,Central Brooklyn
2209,Brokered by BHHS New York Properties,Condo,2750000,2,2.0,1892.0,205 E 16th St Apt 4A,"New York, NY 10003","205 E 16th St Apt 4ANew York, NY 10003",New York,New York County,New York,Manhattan,205,"205 E 16th St #4a, New York, NY 10003, USA",40.7345957,-73.9855511,10003,6.439332693830263,3.276921132065774,4,POINT (-73.9855511 40.7345957),Manhattan,106,Lower East Side
2210,Brokered by Corcoran East Side,Condo,2095000,2,2.0,1600.0,401 E 60th St Apt 17A,"New York, NY 10022","401 E 60th St Apt 17ANew York, NY 10022",New York,New York County,New York,Manhattan,401,"401 E 60th St #17a, New York, NY 10022, USA",40.7603031,-73.9610497,10022,6.321184027302314,3.2041199826559246,4,POINT (-73.9610497 40.7603031),Manhattan,108,Gramercy Park and Murray Hill
2211,Brokered by RE/MAX Team,Co-op,199900,3,1.0,550.0,66-36 Yellowstone Blvd Unit 23C,"Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 23CForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 23h, Forest Hills, NY 11375, USA",40.7291499,-73.84944,11375,5.300812794118117,2.7403626894942437,3,POINT (-73.84944 40.7291499),Queens,406,West Central Queens
2213,Brokered by Staten Island Premiere Properties,Multi-family home,1399999,4,4.0,2776.0,196 Bennett Ave,"Staten Island, NY 10312","196 Bennett AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Bennett Avenue,"196 Bennett Ave, Staten Island, NY 10312, USA",40.5365656,-74.1839422,10312,6.146127725467783,3.4434194617828173,4,POINT (-74.1839422 40.5365656),Staten Island,503,South Shore
2214,Brokered by Chase Global Realty Corp,House,2300000,3,2.0,2800.0,712 126th St,"College Point, NY 11356","712 126th StCollege Point, NY 11356",United States,New York,Queens County,Queens,126th Street,"712 126th St, College Point, NY 11356, USA",40.7903373,-73.8420291,11356,6.361727836017593,3.4471580313422194,4,POINT (-73.8420291 40.7903373),Queens,407,North Queens
2216,Brokered by World Prop Intl Sea To Sky,Co-op,399990,2,1.0,1000.0,71-36 110 St Unit 3L,"Forest Hills, NY 11375","71-36 110 St Unit 3LForest Hills, NY 11375",New York,Queens County,Queens,Flushing,71-36,"71-36 110th St #3a, Flushing, NY 11375, USA",40.7213566,-73.8414009,11375,5.602049133830196,3.0,3,POINT (-73.8414009 40.7213566),Queens,406,West Central Queens
2217,Brokered by RE MAX Edge,Multi-family home,850000,3,3.0,2646.0,3029 Brighton 5th St,"Brooklyn, NY 11235","3029 Brighton 5th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Brighton 5th Street,"3029 Brighton 5th St, Brooklyn, NY 11235, USA",40.5786954,-73.9626508,11235,5.929418925714293,3.422589839851482,3,POINT (-73.96265080000001 40.5786954),Brooklyn,313,Southern Brooklyn
2218,Brokered by Realty Executives Today,Co-op,215000,3,1.0,625.0,6333 98th Pl Apt 3L,"Rego Park, NY 11374","6333 98th Pl Apt 3LRego Park, NY 11374",Queens County,Queens,Rego Park,98th Place,Parking lot,"Parking lot, 6333 98th Pl #3c, Rego Park, NY 11374, USA",40.7318415,-73.8574816,11374,5.332438459915605,2.7958800173440754,3,POINT (-73.8574816 40.7318415),Queens,406,West Central Queens
2219,Brokered by RE/MAX Team,Co-op,199900,3,1.0,550.0,66-36 Yellowstone Blvd Unit 23C,"Forest Hills, NY 11375","66-36 Yellowstone Blvd Unit 23CForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,6636,"6636 Yellowstone Blvd Apt 23h, Forest Hills, NY 11375, USA",40.7291499,-73.84944,11375,5.300812794118117,2.7403626894942437,3,POINT (-73.84944 40.7291499),Queens,406,West Central Queens
2220,Brokered by Keller Williams Realty NYC Grp,Co-op,130000,1,1.0,720.0,2081 Cruger Ave Apt 4C,"Bronx, NY 10462","2081 Cruger Ave Apt 4CBronx, NY 10462",New York,Bronx County,The Bronx,East Bronx,2081,"2081 Cruger Ave #4c, Bronx, NY 10462, USA",40.8527259,-73.8670374,10462,5.113943352306837,2.8573324964312685,3,POINT (-73.8670374 40.8527259),Bronx,211,Southeast Bronx
2221,Brokered by R New York,Condo,16995000,4,4.0,3310.0,23 E 22nd St Unit 55B,"New York, NY 10010","23 E 22nd St Unit 55BNew York, NY 10010",New York County,New York,Manhattan,East 22nd Street,One Madison,"One Madison, 23 E 22nd St #55A, New York, NY 10010, USA",40.7405179,-73.9881093,10010,7.230321168919079,3.519827993775719,5,POINT (-73.9881093 40.7405179),Manhattan,105,Gramercy Park and Murray Hill
2224,Brokered by Coldwell Banker Advantage,Others,299998,2,1.0,1200.0,412 Maryland Ave Apt 3A,"Staten Island, NY 10305","412 Maryland Ave Apt 3AStaten Island, NY 10305",New York,Richmond County,Staten Island,Rosebank,412,"412 Maryland Ave #3a, Staten Island, NY 10305, USA",40.608288,-74.07426,10305,5.477118359413465,3.0791812460476247,3,POINT (-74.07426 40.608288),Staten Island,501,Stapleton and St. George
2225,Brokered by eXp Realty BKNY,Condo,690000,2,2.0,942.0,1569 W 7th St Apt 3A,"Brooklyn, NY 11204","1569 W 7th St Apt 3ABrooklyn, NY 11204",New York,Kings County,Brooklyn,Bensonhurst,1569,"1569 W 7th St #3a, Brooklyn, NY 11204, USA",40.6088021,-73.9805695,11204,5.838849090737256,2.9740509027928774,3,POINT (-73.9805695 40.6088021),Brooklyn,311,Borough Park
2226,Brokered by Pride Estates,Co-op,185000,2,1.0,854.0,2250 Brigham St Apt 3G,"Brooklyn, NY 11229","2250 Brigham St Apt 3GBrooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,2250,"2250 Brigham St #3g, Brooklyn, NY 11229, USA",40.5977235,-73.9352176,11229,5.267171728403014,2.931457870689005,3,POINT (-73.9352176 40.5977235),Brooklyn,315,Southern Brooklyn
2228,Brokered by Suydam Agency Inc,Multi-family home,928888,4,2.0,1480.0,12-12 120th St,"College Point, NY 11356","12-12 120th StCollege Point, NY 11356",United States,New York,Queens County,Queens,120th Street,"12-12 120th St, Flushing, NY 11356, USA",40.787297,-73.848086,11356,5.967963352406687,3.1702617153949575,3,POINT (-73.848086 40.787297),Queens,407,North Queens
2229,Brokered by Canaan Realty International,Condo,780000,2,2.0,955.0,132-59 41st Rd Unit 6C,"Flushing, NY 11355","132-59 41st Rd Unit 6CFlushing, NY 11355",New York,Queens County,Queens,Flushing,132-59,"132-59 41st Rd #6c, Flushing, NY 11355, USA",40.7565584,-73.8317042,11355,5.892094602690481,2.9800033715837464,3,POINT (-73.8317042 40.7565584),Queens,407,North Queens
2230,Brokered by RE MAX Real Estate Professionals,House,1190000,3,2.0,1360.0,260 89th St,"Brooklyn, NY 11209","260 89th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,89th Street,"260 89th St, Brooklyn, NY 11209, USA",40.6214197,-74.0328467,11209,6.075546961392531,3.1335389083702174,4,POINT (-74.03284669999999 40.6214197),Brooklyn,310,Southwest Brooklyn
2232,Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op,599000,2,1.0,1100.0,310 Lexington Ave Apt 1F,"Manhattan, NY 10016","310 Lexington Ave Apt 1FManhattan, NY 10016",New York,New York County,New York,Manhattan,310,"310 Lexington Ave #1b, New York, NY 10016, USA",40.7487581,-73.9782786,10016,5.7774268223893115,3.041392685158225,3,POINT (-73.9782786 40.7487581),Manhattan,106,Gramercy Park and Murray Hill
2233,Brokered by Exp Realty,Condo,639999,3,2.0,1180.0,3816 Waldo Ave Apt 3B,"Bronx, NY 10463","3816 Waldo Ave Apt 3BBronx, NY 10463",New York,Bronx County,The Bronx,Kingsbridge,3816,"3816 Waldo Ave #3b, Bronx, NY 10463, USA",40.8874214,-73.9034179,10463,5.806179295398229,3.0718820073061255,3,POINT (-73.90341789999999 40.8874214),Bronx,208,Kingsbridge and Riverdale
2235,Brokered by Corcoran East Side,Condo,14950000,3,4.0,3228.0,39 W 23rd St,"New York, NY 10010","39 W 23rd StNew York, NY 10010",United States,New York,New York County,New York,West 23rd Street,"39 W 23rd St, New York, NY 10010, USA",40.7423282,-73.9911409,10010,7.174641192660449,3.5089335260500327,5,POINT (-73.9911409 40.7423282),Manhattan,105,Gramercy Park and Murray Hill
